Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2025-W28,,X,,,,,,,,X,,,,,,X,X
2025-W29,,X,,,,X,,,,X,,,,,,X,X
2025-W30,,X,,,,X,,,,X,,,,,,X,X
2025-W31,,X,,,,X,,,,X,,,,,,X,X
2025-W32,,X,,,,X,,,,X,,,,,,X,X
2025-W33,,X,,,,X,,,,X,,,,,,X,X
2025-W34,,X,,,,X,,,,X,,,,,,,X
2025-W35,,X,,,,X,,,,,,,,,,,X
2025-W36,,X,,,,X,,,,X,,,,,,,X
2025-W37,,X,,,,X,,,,X,,,X,,,,X
2025-W38,,X,,,,X,,X,,X,,,,,,X,X
2025-W39,,X,,,,X,,X,,X,,,,,,X,X
2025-W40,,X,,,,X,,X,,X,,,X,,,X,X
2025-W41,,X,,,,X,,,,X,,,,,,,
2025-W42,,X,,,,X,,,,X,,,X,,,X,X
2025-W43,,X,,,,X,,,,X,,,X,,,,X
2025-W44,,X,,,,X,,X,,X,,,,,,X,X
2025-W45,,X,,,,X,,X,,X,,,,,,,X
2025-W46,,X,,,,X,,,,X,,,,,,,X
2025-W47,,X,,,,X,,,,X,,,,,,X,X
2025-W48,,,,,,,,,,X,,,,,,,
2026-W09,,X,,,,X,,,,,,,,,,X,
2026-W10,,X,,,,X,,,,X,,,,,,,
2026-W11,,X,,,,X,,,,X,,,,,,,
2026-W12,,X,,,,X,,,,X,,,,,,,
2026-W13,,X,,,,X,,,,X,,,,,,,
2026-W14,,X,,,,X,,,,X,,,,,,,
2026-W15,,X,,,,X,,,,X,,,,,,,
2026-W16,,X,,,,X,,,,X,,,,,,,
2026-W17,,X,,,,X,,,,X,,,X,,,,
2026-W18,,X,,,,X,,,,X,,,,,,,
2026-W19,,X,,,,X,,X,,X,,,X,,,X,
2026-W20,,X,,,,X,,,,X,,,,,,,
2026-W21,,X,,,,,,X,,,,,,,,,
2026-W22,,X,,,,X,,,,X,,,,,,,
2026-W23,,X,,,,X,,,,X,,,,,,X,
2026-W24,,X,,,,X,,,,X,,,,,,,
